geneid	chr	s1	s2	strand
LINC01770	chr1	1430539	1434573	-1
VWA1	chr1	1434861	1442882	1
ATAD3C	chr1	1449689	1470163	1
ATAD3B	chr1	1471765	1497848	1
AL645728.2	chr1	1503250	1509452	1
ATAD3A	chr1	1512162	1534685	1
TMEM240	chr1	1534778	1540624	-1
SSU72	chr1	1541673	1574863	-1
AL645728.1	chr1	1574102	1577075	1
AL691432.3	chr1	1583510	1583909	-1
FNDC10	chr1	1598012	1600135	-1
AL691432.4	chr1	1600314	1602703	1
AL691432.2	chr1	1613758	1615795	-1
MIB2	chr1	1615415	1630610	1
MMP23B	chr1	1632163	1635263	1
CDK11B	chr1	1635227	1659012	-1
FO704657.1	chr1	1659325	1662602	1
SLC35E2B	chr1	1659529	1692795	-1
AL691432.1	chr1	1671990	1674397	1
MMP23A	chr1	1699942	1701782	1
CDK11A	chr1	1702379	1724357	-1
AL031282.2	chr1	1702736	1737688	-1
AL031282.1	chr1	1724512	1737251	1
SLC35E2A	chr1	1724838	1745999	-1
NADK	chr1	1751232	1780457	-1
GNB1	chr1	1785285	1891117	-1
AL109917.1	chr1	1891471	1892658	1
CALML6	chr1	1915108	1917296	1
TMEM52	chr1	1917590	1919279	-1
CFAP74	chr1	1921951	2003837	-1
AL391845.2	chr1	2013213	2015639	-1
GABRD	chr1	2019329	2030758	1
AL391845.1	chr1	2049203	2050070	-1
PRKCZ	chr1	2050411	2185395	1
AL590822.2	chr1	2141084	2145279	-1
PRKCZ-AS1	chr1	2181794	2184389	-1
FAAP20	chr1	2184461	2212720	-1
AL590822.1	chr1	2212523	2220738	1
SKI	chr1	2228319	2310213	1
AL590822.3	chr1	2315040	2323085	1
MORN1	chr1	2321253	2391707	-1
AL589739.1	chr1	2326201	2326693	-1
AL513477.1	chr1	2350414	2352820	-1
AL513477.2	chr1	2363061	2363628	-1
RER1	chr1	2391775	2405442	1
PEX10	chr1	2403964	2413797	-1
PLCH2	chr1	2425980	2505532	1
AL139246.1	chr1	2492300	2493258	-1
AL139246.4	chr1	2493437	2494479	-1
PANK4	chr1	2508537	2526597	-1
HES5	chr1	2528745	2530263	-1
AL139246.5	chr1	2530064	2547460	1
TNFRSF14-AS1	chr1	2549920	2557031	-1
TNFRSF14	chr1	2555639	2565382	1
AL139246.2	chr1	2566410	2569888	1
AL139246.3	chr1	2581560	2584533	1
PRXL2B	chr1	2586491	2591469	1
MMEL1	chr1	2590639	2633016	-1
MMEL1-AS1	chr1	2632568	2636620	1
TTC34	chr1	2635976	2801717	-1
AC242022.2	chr1	2768091	2784733	1
AC242022.1	chr1	2773603	2776473	1
AL592464.2	chr1	2811850	2812692	-1
AL592464.3	chr1	2814056	2817767	1
AL592464.1	chr1	2814432	2814998	-1
AL589702.1	chr1	2960658	2968707	-1
ACTRT2	chr1	3021467	3022903	1
PRDM16-DT	chr1	3059615	3068437	-1
PRDM16	chr1	3069168	3438621	1
MIR4251	chr1	3127975	3128035	1
AL008733.1	chr1	3132927	3133709	-1
AL512383.1	chr1	3205988	3208664	1
AL590438.1	chr1	3306636	3310096	-1
AL354743.2	chr1	3313052	3323149	-1
AL354743.1	chr1	3367815	3373928	-1
ARHGEF16	chr1	3454665	3481113	1
AL512413.1	chr1	3487246	3487627	1
MEGF6	chr1	3487951	3611508	-1
MIR551A	chr1	3560695	3560790	-1
AL513320.1	chr1	3623190	3624743	-1
TPRG1L	chr1	3625015	3630127	1
WRAP73	chr1	3630767	3652761	-1
TP73	chr1	3652516	3736201	1
AL136528.1	chr1	3658938	3668772	-1
AL136528.2	chr1	3712200	3714298	-1
TP73-AS1	chr1	3735511	3747373	-1
AL136528.3	chr1	3736943	3737103	1
CCDC27	chr1	3746460	3771645	1
SMIM1	chr1	3772655	3775982	1
LRRC47	chr1	3778559	3796498	-1
RN7SL574P	chr1	3782815	3783111	1
AL365330.1	chr1	3785008	3785538	1
CEP104	chr1	3812086	3857214	-1
DFFB	chr1	3857267	3885429	1
C1orf174	chr1	3889125	3900293	-1
LINC01134	chr1	3900352	3917225	1
LINC01346	chr1	3940486	3955262	1
LINC01345	chr1	3944547	3949024	-1
LINC02780	chr1	3976133	4012704	1
AL805961.1	chr1	4012921	4019508	-1
EEF1DP6	chr1	4175528	4175899	-1
LINC01777	chr1	4412027	4424689	1
AL355602.1	chr1	4479131	4484375	-1
Z98747.1	chr1	4551735	4552145	-1
LINC01646	chr1	4571481	4594016	1
AJAP1	chr1	4654609	4792534	1
Z98886.1	chr1	4730211	4734992	-1
BX005132.1	chr1	4963954	4973298	-1
LINC02781	chr1	4973381	4981568	1
LINC02782	chr1	5086459	5090899	-1
AL139823.1	chr1	5301928	5307394	-1
Z98259.3	chr1	5478736	5493057	-1
Z98259.2	chr1	5480787	5482028	-1
Z98259.1	chr1	5492978	5494674	1
Z97988.2	chr1	5554747	5554881	1
AL365255.1	chr1	5561709	5668295	-1
Z97988.1	chr1	5564071	5564143	1
MIR4689	chr1	5862672	5862741	-1
NPHP4	chr1	5862811	5992473	-1
KCNAB2	chr1	5990927	6101193	1
CHD5	chr1	6101787	6180321	-1
AL031847.2	chr1	6159430	6197757	-1
RPL22	chr1	6185020	6209389	-1
AL031847.1	chr1	6204840	6205780	-1
RNF207	chr1	6205475	6221299	1
ICMT	chr1	6221193	6235972	-1
LINC00337	chr1	6234692	6239444	1
HES3	chr1	6244179	6245578	1
GPR153	chr1	6247353	6261098	-1
ACOT7	chr1	6264269	6394391	-1
AL031848.2	chr1	6393555	6394391	1
HES2	chr1	6412418	6424670	-1
ESPN	chr1	6424776	6461367	1
MIR4252	chr1	6429834	6429896	-1
AL031848.1	chr1	6443034	6447006	-1
TNFRSF25	chr1	6460786	6466195	-1
PLEKHG5	chr1	6466092	6520061	-1
NOL9	chr1	6521347	6554513	-1
RNU6-731P	chr1	6540854	6540964	1
AL591866.1	chr1	6547905	6548619	1
TAS1R1	chr1	6555307	6579755	1
ZBTB48	chr1	6579994	6589280	1
KLHL21	chr1	6590724	6614607	-1
PHF13	chr1	6613731	6624030	1
THAP3	chr1	6624866	6635586	1
DNAJC11	chr1	6634168	6701924	-1
LINC01672	chr1	6724637	6730012	1
AL591163.1	chr1	6767954	6770038	1
CAMTA1-DT	chr1	6783892	6784843	-1
CAMTA1	chr1	6785454	7769706	1
AL590128.1	chr1	6834333	6834618	-1
AL512330.1	chr1	7008376	7014279	-1
RNU1-8P	chr1	7219360	7219524	1
CAMTA1-IT1	chr1	7368942	7370270	1
CAMTA1-AS2	chr1	7382487	7389754	-1
CAMTA1-AS1	chr1	7441096	7441554	-1
AL359881.3	chr1	7693124	7694844	-1
AL359881.2	chr1	7698303	7698872	-1
AL359881.1	chr1	7700704	7700970	-1
VAMP3	chr1	7771296	7781432	1
Z98884.2	chr1	7776383	7776775	1
PER3	chr1	7784320	7845177	1
Z98884.1	chr1	7810242	7827342	-1
UTS2	chr1	7843083	7853512	-1
TNFRSF9	chr1	7915871	7943165	-1
AL009183.1	chr1	7942372	7942726	1
PARK7	chr1	7954291	7985505	1
AL034417.1	chr1	7982881	7982983	-1
AL034417.5	chr1	7991134	8005312	1
AL034417.4	chr1	7998187	7999934	-1
ERRFI1	chr1	8004404	8026309	-1
AL034417.3	chr1	8026738	8122702	1
AL034417.2	chr1	8057245	8058463	-1
AL358876.1	chr1	8189824	8192770	1
LINC01714	chr1	8201518	8215210	1
RNU1-7P	chr1	8206434	8206597	-1
AL358876.2	chr1	8218190	8220529	-1
RNU6-991P	chr1	8292157	8292263	-1
SLC45A1	chr1	8317826	8344167	1
AL356072.1	chr1	8328067	8328179	1
RERE	chr1	8352397	8848921	-1
RERE-AS1	chr1	8424645	8435013	1
AL096855.1	chr1	8511795	8511919	-1
AL096855.2	chr1	8512653	8513021	1
RPL7P11	chr1	8750430	8751087	1
RPL7P7	chr1	8786211	8786913	-1
AL357552.1	chr1	8796571	8796673	-1
AL357552.2	chr1	8798475	8799506	1
AL357552.3	chr1	8805860	8807051	-1
RPL23AP19	chr1	8831007	8831375	1
ENO1	chr1	8861000	8879190	-1
MIR6728	chr1	8866502	8866590	-1
ENO1-AS1	chr1	8878835	8879894	1
RNU6-304P	chr1	8883427	8883533	-1
HMGN2P17	chr1	8893409	8894151	1
AL139415.1	chr1	8907393	8907744	-1
AL139415.2	chr1	8909742	8909904	1
CA6	chr1	8945867	8975092	1
RN7SL451P	chr1	8979576	8979874	-1
SLC2A7	chr1	9003300	9026345	-1
SLC2A5	chr1	9035106	9088478	-1
AL158048.1	chr1	9082696	9082879	1
GPR157	chr1	9100305	9129102	-1
MIR34AHG	chr1	9148011	9198906	-1
MIR34A	chr1	9151668	9151777	-1
LNCTAM34A	chr1	9182004	9196284	1
H6PD	chr1	9234774	9271337	1
SPSB1	chr1	9292894	9369532	1
BX323043.1	chr1	9421098	9422862	-1
LINC02606	chr1	9425094	9440564	-1
RNA5SP40	chr1	9437669	9437778	-1
AL928921.1	chr1	9501092	9503471	-1
SLC25A33	chr1	9539465	9585173	1
AL954705.1	chr1	9576427	9576985	1
TMEM201	chr1	9588911	9614877	1
PIK3CD	chr1	9651731	9729114	1
PIK3CD-AS1	chr1	9652610	9654586	-1
AL691449.1	chr1	9660828	9662626	-1
PIK3CD-AS2	chr1	9672426	9687555	-1
CLSTN1	chr1	9728926	9823984	-1
MZT1P1	chr1	9780822	9781240	1
AL357140.3	chr1	9826289	9828271	-1
CTNNBIP1	chr1	9848276	9910336	-1
AL357140.1	chr1	9848318	9850154	1
AL357140.4	chr1	9900614	9908034	1
LZIC	chr1	9922113	9943407	-1
AL357140.2	chr1	9942923	9949974	1
NMNAT1	chr1	9943428	9985501	1
RN7SKP269	chr1	9947318	9947636	1
TMEM274P	chr1	9950572	9960787	-1
MIR5697	chr1	9967381	9967458	1
AL603962.1	chr1	9983141	9984568	1
RBP7	chr1	9997206	10016021	1
UBE4B	chr1	10032832	10181239	1
AL590639.1	chr1	10054445	10054781	-1
PGAM1P11	chr1	10058671	10059648	1
RNU6-828P	chr1	10163268	10163374	1
KIF1B	chr1	10210805	10381603	1
AL358013.1	chr1	10227718	10227803	1
RNU6-37P	chr1	10298966	10299072	1
RN7SL731P	chr1	10306465	10306757	1
AL139424.3	chr1	10381906	10387150	-1
AL139424.2	chr1	10395416	10397432	1
PGD	chr1	10398592	10420511	1
AL139424.1	chr1	10429881	10430677	-1
CENPS-CORT	chr1	10430102	10452153	1
CENPS	chr1	10430433	10442808	1
CORT	chr1	10450031	10451998	1
DFFA	chr1	10456522	10472529	-1
AL354956.1	chr1	10458555	10459338	1
PEX14	chr1	10472288	10630758	1
AL139423.2	chr1	10612222	10616452	-1
RN7SL614P	chr1	10616836	10617115	1
CASZ1	chr1	10636604	10796650	-1
AL139423.1	chr1	10639241	10654333	1
HSPE1P24	chr1	10895761	10895998	1
C1orf127	chr1	10946471	10982037	-1
CFL1P6	chr1	10990978	10991797	-1
TARDBP	chr1	11012344	11025739	1
AL109811.3	chr1	11012662	11030528	1
MASP2	chr1	11026523	11047239	-1
AL109811.2	chr1	11029659	11030528	1
SRM	chr1	11054584	11060020	-1
EXOSC10	chr1	11066618	11099869	-1
AL109811.1	chr1	11068471	11073097	1
EXOSC10-AS1	chr1	11099675	11102100	1
MTOR	chr1	11106535	11262551	-1
MTOR-AS1	chr1	11143898	11149537	1
RNU6-537P	chr1	11152350	11152452	1
ANGPTL7	chr1	11189355	11195981	1
RNU6-291P	chr1	11226254	11226360	1
RPL39P6	chr1	11232963	11233112	1
UBIAD1	chr1	11273206	11296049	1
UBE2V2P3	chr1	11278616	11279351	-1
AL031291.1	chr1	11311734	11319093	-1
MTCYBP45	chr1	11425257	11425821	-1
DISP3	chr1	11479155	11537551	1
AL590989.1	chr1	11500803	11502016	-1
LINC01647	chr1	11609468	11613358	1
AL031731.1	chr1	11623558	11643416	1
FBXO2	chr1	11637018	11655785	-1
FBXO44	chr1	11654375	11663327	1
FBXO6	chr1	11664200	11674354	1
MAD2L2	chr1	11674480	11691650	-1
DRAXIN	chr1	11691710	11725857	1
AGTRAP	chr1	11736084	11754802	1
C1orf167	chr1	11761787	11789585	1
C1orf167-AS1	chr1	11777077	11779619	-1
MTHFR	chr1	11785723	11806455	-1
CLCN6	chr1	11806096	11848079	1
AL021155.2	chr1	11843812	11843984	1
AL021155.3	chr1	11845549	11845697	1
NPPA	chr1	11845709	11848345	-1
AL021155.1	chr1	11847442	11847549	1
NPPB	chr1	11857464	11858945	-1
SBF1P2	chr1	11877770	11880406	1
AL021155.4	chr1	11907940	11914298	1
RNU5E-1	chr1	11908152	11908271	1
RNU5E-4P	chr1	11909808	11909927	-1
KIAA2013	chr1	11919591	11926428	-1
PLOD1	chr1	11934205	11975538	1
AL096840.3	chr1	11979533	11980127	-1
MFN2	chr1	11980181	12013514	1
AL096840.2	chr1	12017216	12017308	-1
MIIP	chr1	12019466	12032045	1
AL096840.1	chr1	12024012	12024124	-1
MIR6729	chr1	12029158	12029222	1
RN7SL649P	chr1	12036740	12037014	-1
TNFRSF8	chr1	12063303	12144207	1
RNU6-777P	chr1	12077881	12077984	-1
RPL23AP89	chr1	12080293	12080547	-1
AL357835.1	chr1	12088441	12092264	-1
MIR7846	chr1	12166943	12167038	1
TNFRSF1B	chr1	12166991	12209228	1
MIR4632	chr1	12191713	12191773	1
RPL10P17	chr1	12220794	12221109	-1
AL031276.1	chr1	12221148	12221271	-1
VPS13D	chr1	12230030	12512047	1
SNORA59A	chr1	12507246	12507397	1
LINC02766	chr1	12527724	12528420	1
DHRS3	chr1	12567910	12618210	-1
RNU6ATAC18P	chr1	12569972	12570072	-1
MIR6730	chr1	12578957	12579023	-1
AC254633.1	chr1	12618900	12619244	-1
AADACL4	chr1	12644547	12667086	1
AC244670.1	chr1	12692909	12693020	1
AADACL3	chr1	12716110	12728760	1
C1orf158	chr1	12746200	12763699	1
PRAMEF12	chr1	12774841	12777906	1
PRAMEF1	chr1	12791397	12796628	1
LINC01784	chr1	12822686	12823159	-1
PRAMEF11	chr1	12824605	12831410	-1
PRAMEF30P	chr1	12838125	12841357	-1
HNRNPCL1	chr1	12847377	12848720	-1
PRAMEF2	chr1	12857086	12861909	1
PRAMEF4	chr1	12879212	12886201	-1
PRAMEF10	chr1	12892896	12898270	-1
PRAMEF7	chr1	12916610	12920482	1
RNU6-1072P	chr1	12922554	12922660	1
PRAMEF29P	chr1	12926162	12928253	1
PRAMEF6	chr1	12938472	12947580	-1
PRAMEF28P	chr1	13029339	13032130	1
PRAMEF27	chr1	13049476	13056491	-1
HNRNPCL3	chr1	13060869	13062229	1
PRAMEF25	chr1	13068677	13077884	1
PRAMEF34P	chr1	13095179	13097971	-1
PRAMEF35P	chr1	13104403	13105689	-1
HNRNPCL2	chr1	13115488	13116854	-1
PRAMEF36P	chr1	13128818	13131615	1
AC245056.1	chr1	13146981	13147460	-1
PRAMEF26	chr1	13148905	13155961	-1
HNRNPCL4	chr1	13163914	13165631	-1
PRAMEF9	chr1	13172455	13179464	1
PRAMEF13	chr1	13196188	13201409	-1
PRAMEF18	chr1	13222705	13226106	-1
PRAMEF31P	chr1	13245863	13248652	1
PRAMEF5	chr1	13254212	13263314	1
PRAMEF32P	chr1	13273539	13275627	-1
RNU6-771P	chr1	13279125	13279231	-1
PRAMEF8	chr1	13281035	13285174	-1
PRAMEF33	chr1	13303539	13308907	1
PRAMEF15	chr1	13315581	13322598	1
AC243961.1	chr1	13324039	13324518	1
PRAMEF14	chr1	13341892	13347134	-1
PRAMEF19	chr1	13369067	13371900	-1
PRAMEF17	chr1	13389632	13392629	1
PRAMEF20	chr1	13410450	13421328	1
LRRC38	chr1	13474973	13514003	-1
AL354712.1	chr1	13513220	13516270	1
BRWD1P1	chr1	13555001	13555694	1
PDPN	chr1	13583465	13617957	1
RNA5SP41	chr1	13623184	13623284	-1
AL359771.1	chr1	13657311	13659910	-1
AL359771.2	chr1	13696070	13696199	-1
PRDM2	chr1	13700198	13825079	1
KAZN	chr1	13892792	15118043	1
RNU6-1265P	chr1	14124233	14124335	-1
AL357873.1	chr1	14221887	14304445	-1
KAZN-AS1	chr1	14338825	14419973	-1
TBCAP2	chr1	14692129	14692613	-1
AL031293.1	chr1	14774469	14777727	-1
TMEM51-AS1	chr1	15111815	15153618	-1
TMEM51	chr1	15152532	15220478	1
C1orf195	chr1	15164344	15171317	-1
MFFP1	chr1	15191828	15192845	-1
ZBTB2P1	chr1	15226373	15227549	1
FHAD1	chr1	15247272	15400283	1
FHAD1-AS1	chr1	15326680	15343876	-1
AL031283.2	chr1	15334166	15335464	-1
AL031283.1	chr1	15402979	15409433	-1
EFHD2	chr1	15409888	15430339	1
CTRC	chr1	15438442	15449242	1
CELA2A	chr1	15456728	15472091	1
CELA2B	chr1	15465909	15491395	1
CASP9	chr1	15490832	15526534	-1
DNAJC16	chr1	15526813	15592379	1
SCARNA21B	chr1	15542165	15542304	1
AL121992.3	chr1	15565611	15565956	-1
AGMAT	chr1	15571699	15585051	-1
AL121992.1	chr1	15586136	15603626	-1
CHCHD2P6	chr1	15604597	15605043	1
RNU7-179P	chr1	15608078	15608145	-1
CD24P1	chr1	15614643	15614867	-1
DDI2	chr1	15617458	15669044	1
RSC1A1	chr1	15659869	15661722	1
AL121992.2	chr1	15682873	15683128	-1
PLEKHM2	chr1	15684320	15734769	1
AL450998.3	chr1	15720312	15736896	-1
SLC25A34	chr1	15736258	15741392	1
SLC25A34-AS1	chr1	15740051	15749896	-1
TMEM82	chr1	15742499	15747982	1
FBLIM1	chr1	15756607	15786594	1
RPL12P14	chr1	15792796	15793285	1
UQCRHL	chr1	15807169	15809348	-1
AL450998.1	chr1	15828232	15828669	1
AL450998.2	chr1	15834474	15848147	-1
SPEN	chr1	15836095	15940456	1
AL034555.1	chr1	15917698	15917908	-1
ZBTB17	chr1	15941869	15976132	-1
AL355994.4	chr1	15969632	15970194	1
AL355994.1	chr1	15988182	15988441	1
AL355994.5	chr1	15989140	15989375	-1
TBC1D3P6	chr1	15989871	15994751	1
SRARP	chr1	16004236	16008807	1
AL355994.3	chr1	16006160	16006671	-1
HSPB7	chr1	16014028	16019594	-1
CLCNKA	chr1	16018875	16034050	1
AL355994.2	chr1	16035178	16040029	-1
CLCNKB	chr1	16043736	16057308	1
FAM131C	chr1	16057769	16073651	-1
EPHA2	chr1	16124337	16156069	-1
AL451042.2	chr1	16155211	16157329	1
AL451042.1	chr1	16159266	16161883	1
ARHGEF19	chr1	16197854	16212652	-1
ARHGEF19-AS1	chr1	16197854	16198357	1
ANO7L1	chr1	16215909	16228027	-1
AL109627.1	chr1	16228674	16231335	-1
CPLANE2	chr1	16231692	16237183	-1
MT1XP1	chr1	16241213	16241398	-1
FBXO42	chr1	16246840	16352480	-1
SZRD1	chr1	16352575	16398145	1
RPL22P3	chr1	16369150	16369530	-1
SPATA21	chr1	16387117	16437424	-1
NECAP2	chr1	16440721	16460078	1
LINC01772	chr1	16460948	16468481	1
CROCCP3	chr1	16467436	16499257	-1
RNU1-1	chr1	16514122	16514285	-1
AL137802.2	chr1	16514645	16515754	1
AL137802.3	chr1	16515034	16521788	1
AL137802.1	chr1	16520694	16521796	1
LINC01783	chr1	16533886	16536172	-1
RNU1-6P	chr1	16534081	16534224	-1
AL355149.1	chr1	16548651	16552531	-1
NBPF1	chr1	16562319	16613562	-1
AL137798.1	chr1	16617391	16617729	1
CROCCP2	chr1	16618253	16657232	-1
AL137798.3	chr1	16642767	16643109	-1
MST1P2	chr1	16645622	16650289	1
AL137798.2	chr1	16656879	16667524	1
RNU1-3	chr1	16666785	16666948	-1
AL021920.2	chr1	16681097	16688749	-1
EIF1AXP1	chr1	16685621	16686055	-1
ESPNP	chr1	16687339	16720157	-1
AL021920.1	chr1	16701546	16705594	1
AL021920.3	chr1	16739938	16750589	-1
CROCC	chr1	16740273	16972964	1
CROCCP4	chr1	16740280	16750968	1
RNU1-4	chr1	16740516	16740679	1
MST1L	chr1	16754910	16770237	-1
BX284668.1	chr1	16851257	16853129	-1
BX284668.3	chr1	16855407	16859284	1
MIR3675	chr1	16858949	16859021	-1
BX284668.2	chr1	16870945	16883659	1
RNU1-5P	chr1	16873708	16873851	1
BX284668.5	chr1	16887577	16889706	-1
BX284668.4	chr1	16889095	16889602	1
RNU1-2	chr1	16895980	16896143	1
BX284668.6	chr1	16904339	16904776	-1
MFAP2	chr1	16974502	16980632	-1
AL049569.2	chr1	16976302	16977792	1
AL049569.1	chr1	16978926	17005091	1
ATP13A2	chr1	16985958	17011928	-1
SDHB	chr1	17018722	17054032	-1
PADI2	chr1	17066761	17119451	-1
LINC02783	chr1	17189783	17197617	1
AL590644.1	chr1	17193232	17201733	-1
PADI1	chr1	17205128	17246007	1
PADI3	chr1	17249098	17284233	1
MIR3972	chr1	17277889	17277975	1
PADI4	chr1	17308195	17364004	1
PADI6	chr1	17372196	17401699	1
RCC2-AS1	chr1	17406760	17407382	1
RCC2	chr1	17406760	17439677	-1
ARHGEF10L	chr1	17539698	17697874	1
LINC02810	chr1	17717625	17749978	1
ACTL8	chr1	17755333	17827063	1
AL357509.1	chr1	18015712	18045612	1
LINC01654	chr1	18065657	18074412	1
IGSF21	chr1	18107798	18378483	1
AL365209.1	chr1	18109389	18115861	1
IGSF21-AS1	chr1	18166929	18179346	-1
AL591896.1	chr1	18385829	18388514	1
KLHDC7A	chr1	18480982	18486126	1
DYNLL1P3	chr1	18513118	18513383	1
AL031737.1	chr1	18595414	18595636	1
PAX7	chr1	18630846	18748866	1
TAS1R2	chr1	18839599	18859682	-1
ALDH4A1	chr1	18871430	18902724	-1
MIR4695	chr1	18883202	18883275	-1
MIR1290	chr1	18897071	18897148	-1
IFFO2	chr1	18904280	18956676	-1
AL137127.1	chr1	19072110	19075511	-1
UBR4	chr1	19074510	19210266	-1
EMC1-AS1	chr1	19210501	19240704	1
EMC1	chr1	19215660	19251527	-1
MRTO4	chr1	19251805	19260128	1
AL035413.2	chr1	19260521	19262307	-1
AKR7L	chr1	19265982	19274194	-1
AKR7A3	chr1	19282573	19288770	-1
AL035413.1	chr1	19297080	19297903	1
AKR7A2	chr1	19303965	19312146	-1
RNU6-1099P	chr1	19305076	19305182	-1
SLC66A1	chr1	19312326	19329300	1
CAPZB	chr1	19338775	19485539	-1
RN7SL277P	chr1	19424384	19424671	1
MICOS10	chr1	19484403	19629821	1
RNU4-28P	chr1	19510593	19510733	1
AL031727.2	chr1	19591802	19596832	-1
NBL1	chr1	19596979	19658456	1
MICOS10-NBL1	chr1	19597067	19656927	1
AL031727.1	chr1	19608114	19608568	1
HTR6	chr1	19664875	19680966	1
TMCO4	chr1	19682213	19799945	-1
RNF186	chr1	19814029	19815283	-1
AL391883.1	chr1	19814367	19819502	1
OTUD3	chr1	19882395	19912945	1
PLA2G2E	chr1	19920009	19923617	-1
RN7SL304P	chr1	19970969	19971269	1
PLA2G2A	chr1	19975431	19980416	-1
PLA2G5	chr1	20028179	20091911	1
PLA2G2D	chr1	20111939	20119566	-1
PLA2G2F	chr1	20139323	20150381	1
Z98257.1	chr1	20154171	20160568	1
PLA2G2C	chr1	20161253	20177424	-1
