geneid	chr	s1	s2	strand
AL645608.1	chr1	861264	866445	-1
NOC2L	chr1	879584	894689	-1
KLHL17	chr1	895967	901095	1
PLEKHN1	chr1	901877	911245	1
C1orf170	chr1	910579	917497	-1
RP11-54O7.17	chr1	931346	933431	-1
HES4	chr1	934342	935552	-1
RP11-54O7.10	chr1	943456	943609	-1
RP11-54O7.11	chr1	947377	948573	-1
ISG15	chr1	948803	949920	1
AGRN	chr1	955503	991496	1
RP11-54O7.14	chr1	990413	991496	1
RP11-465B22.3	chr1	995114	1004735	1
RP11-54O7.18	chr1	997588	998668	-1
RNF223	chr1	1006346	1009687	-1
C1orf159	chr1	1017198	1051741	-1
RP11-465B22.5	chr1	1072397	1079436	1
MIR200B	chr1	1102484	1102578	1
MIR200A	chr1	1103243	1103332	1
MIR429	chr1	1104385	1104467	1
RP11-465B22.8	chr1	1104737	1105723	1
TTLL10-AS1	chr1	1108436	1114935	-1
TTLL10	chr1	1109264	1133315	1
TNFRSF18	chr1	1138888	1142071	-1
TNFRSF4	chr1	1146706	1149518	-1
SDF4	chr1	1152288	1167411	-1
B3GALT6	chr1	1167629	1170421	1
FAM132A	chr1	1177826	1182102	-1
RP5-902P8.12	chr1	1185157	1186714	-1
UBE2J2	chr1	1189289	1209265	-1
RP5-902P8.10	chr1	1210603	1215800	1
SCNN1D	chr1	1215816	1227409	1
ACAP3	chr1	1227756	1244989	-1
PUSL1	chr1	1243947	1247057	1
CPSF3L	chr1	1246965	1260071	-1
RP5-890O3.9	chr1	1252961	1254069	-1
GLTPD1	chr1	1260136	1264277	1
TAS1R3	chr1	1266694	1270686	1
DVL1	chr1	1270656	1284730	-1
MXRA8	chr1	1288069	1297157	-1
AURKAIP1	chr1	1309110	1310875	-1
RP5-890O3.3	chr1	1314046	1314412	1
CCNL2	chr1	1321091	1334708	-1
RP4-758J18.2	chr1	1334902	1337426	1
MRPL20	chr1	1337288	1342693	-1
RN7SL657P	chr1	1340841	1341132	-1
RP4-758J18.13	chr1	1344476	1345998	1
ANKRD65	chr1	1353800	1357149	-1
RP4-758J18.7	chr1	1355625	1358071	1
TMEM88B	chr1	1361508	1363167	1
RP4-758J18.10	chr1	1365919	1369953	-1
VWA1	chr1	1370241	1378262	1
ATAD3C	chr1	1385069	1405538	1
ATAD3B	chr1	1407143	1433228	1
ATAD3A	chr1	1447531	1470067	1
TMEM240	chr1	1470554	1475833	-1
SSU72	chr1	1477053	1510249	-1
AL645728.2	chr1	1497726	1499904	-1
AL645728.1	chr1	1510355	1511373	1
AL645728.3	chr1	1515136	1515379	1
C1orf233	chr1	1533392	1535476	-1
RP11-345P4.9	chr1	1549138	1551175	-1
MIB2	chr1	1550795	1565990	1
MMP23B	chr1	1567474	1570639	1
CDK11B	chr1	1570603	1590473	-1
RP11-345P4.10	chr1	1590786	1594063	1
SLC35E2B	chr1	1592939	1624167	-1
RP11-345P4.7	chr1	1603429	1604850	1
RP11-345P4.6	chr1	1604714	1605836	1
MMP23A	chr1	1631369	1633249	1
CDK11A	chr1	1634169	1655766	-1
RP1-283E3.8	chr1	1634175	1669127	-1
RP1-283E3.4	chr1	1655951	1668690	1
SLC35E2	chr1	1656277	1677431	-1
NADK	chr1	1682671	1711896	-1
GNB1	chr1	1716729	1822495	-1
RP1-140A9.1	chr1	1822910	1824097	1
CALML6	chr1	1846266	1848735	1
TMEM52	chr1	1849029	1850712	-1
C1orf222	chr1	1853396	1935276	-1
RP11-547D24.1	chr1	1944652	1946969	-1
GABRD	chr1	1950780	1962192	1
RP11-547D24.3	chr1	1980642	1981509	-1
PRKCZ	chr1	1981909	2116834	1
RP5-892K4.1	chr1	2072523	2076718	-1
RP11-181G12.2	chr1	2113233	2115828	-1
C1orf86	chr1	2115903	2144159	-1
AL590822.2	chr1	2121237	2123179	1
AL590822.1	chr1	2143360	2145620	-1
RP11-181G12.5	chr1	2143610	2144013	-1
RP11-181G12.4	chr1	2143962	2152177	1
SKI	chr1	2160134	2241558	1
MORN1	chr1	2252692	2323146	-1
RP4-713A8.1	chr1	2257640	2258132	-1
AL589739.1	chr1	2258581	2259042	1
RP4-740C4.6	chr1	2281853	2284259	-1
RP4-740C4.5	chr1	2283083	2283296	-1
RP4-740C4.7	chr1	2294500	2295067	-1
RP4-740C4.9	chr1	2306292	2306792	-1
RP4-740C4.8	chr1	2309056	2309799	-1
AL513477.1	chr1	2316811	2319922	1
RER1	chr1	2323267	2336883	1
PEX10	chr1	2336236	2345236	-1
PLCH2	chr1	2357419	2436969	1
RP3-395M20.2	chr1	2423739	2424697	-1
RP3-395M20.3	chr1	2424876	2425918	-1
PANK4	chr1	2439972	2458039	-1
HES5	chr1	2460184	2461684	-1
RP3-395M20.12	chr1	2477904	2478899	1
RP3-395M20.8	chr1	2481359	2488470	-1
TNFRSF14	chr1	2487078	2496821	1
RP3-395M20.7	chr1	2497849	2501327	1
RP3-395M20.9	chr1	2512999	2515972	1
FAM213B	chr1	2517930	2522908	1
MMEL1	chr1	2522078	2564481	-1
RP13-436F16.1	chr1	2564007	2568059	1
TTC34	chr1	2567415	2718286	-1
RP11-740P5.2	chr1	2728415	2729257	-1
RP11-740P5.3	chr1	2730997	2731563	-1
ACTRT2	chr1	2938046	2939465	1
LINC00982	chr1	2976179	2985001	-1
AL008733.1	chr1	2978523	2978959	-1
PRDM16	chr1	2985732	3355185	1
RP1-163G9.2	chr1	3049491	3050273	-1
RP11-22L13.1	chr1	3223200	3226660	-1
ARHGEF16	chr1	3370990	3397677	1
RP11-168F9.2	chr1	3403810	3404191	1
MEGF6	chr1	3406484	3528059	-1
MIR551A	chr1	3477259	3477354	-1
RP11-46F15.2	chr1	3539754	3541307	-1
TPRG1L	chr1	3541566	3546691	1
WRAP73	chr1	3547331	3569325	-1
TP73	chr1	3569084	3652765	1
RP5-1092A11.5	chr1	3575502	3585336	-1
RP5-1092A11.2	chr1	3628764	3630862	-1
TP73-AS1	chr1	3652548	3663900	-1
CCDC27	chr1	3668962	3688209	1
SMIM1	chr1	3689352	3692546	1
LRRC47	chr1	3696784	3713068	-1
RN7SL574P	chr1	3699379	3699673	1
RP1-286D6.5	chr1	3701572	3702102	1
CEP104	chr1	3728645	3773778	-1
DFFB	chr1	3773845	3801993	1
AL691523.1	chr1	3800628	3800697	1
C1orf174	chr1	3805689	3816857	-1
LINC01134	chr1	3816936	3833789	1
RP13-614K11.1	chr1	4000673	4015322	1
RP13-614K11.2	chr1	4007209	4009040	-1
RP11-374C13.1	chr1	4235588	4235959	-1
RP5-1166F10.1	chr1	4472111	4484747	1
RP1-37J18.1	chr1	4611795	4612205	-1
RP1-37J18.2	chr1	4631608	4643481	1
AJAP1	chr1	4714792	4852594	1
RP11-542C10.1	chr1	5146519	5150959	-1
RP1-58B11.1	chr1	5553038	5554734	1
MIR4417	chr1	5624131	5624203	1
RP11-154H17.1	chr1	5647428	5728355	-1
AL356693.1	chr1	5875931	5876019	-1
MIR4689	chr1	5922732	5922801	-1
NPHP4	chr1	5922871	6052533	-1
AL356261.1	chr1	5953899	5953984	-1
KCNAB2	chr1	6051526	6161253	1
AL035406.1	chr1	6100630	6101399	-1
CHD5	chr1	6161853	6240183	-1
RPL22	chr1	6241329	6269449	-1
RP1-120G22.11	chr1	6264900	6265840	-1
RNF207	chr1	6265535	6281359	1
ICMT	chr1	6281253	6296032	-1
LINC00337	chr1	6296300	6299504	1
HES3	chr1	6304252	6305638	1
GPR153	chr1	6307406	6321035	-1
ACOT7	chr1	6324329	6454451	-1
RP1-202O8.3	chr1	6453615	6454451	1
HES2	chr1	6472478	6484730	-1
ESPN	chr1	6484848	6521430	1
MIR4252	chr1	6489894	6489956	-1
RP1-202O8.2	chr1	6503094	6507066	-1
TNFRSF25	chr1	6521211	6526255	-1
PLEKHG5	chr1	6526152	6580121	-1
NOL9	chr1	6581407	6614595	-1
RNU6-731P	chr1	6600914	6601024	1
RP11-58A11.2	chr1	6607965	6608679	1
TAS1R1	chr1	6615241	6639817	1
ZBTB48	chr1	6640061	6649340	1
KLHL21	chr1	6650784	6674667	-1
PHF13	chr1	6673745	6684093	1
THAP3	chr1	6684926	6695646	1
DNAJC11	chr1	6694228	6761984	-1
RP11-242F24.1	chr1	6784697	6790072	1
snoU13	chr1	6812779	6812881	1
RP11-312B8.1	chr1	6843952	6844903	-1
CAMTA1	chr1	6845384	7829766	1
RP11-312B8.2	chr1	6894393	6894678	-1
RP11-334N17.1	chr1	7068436	7074339	-1
RNU1-8P	chr1	7279420	7279584	1
CAMTA1-IT1	chr1	7429003	7430331	1
RP3-453P22.2	chr1	7442548	7449814	-1
RP4-549F15.1	chr1	7501156	7501614	-1
RP11-338N10.1	chr1	7753184	7754904	-1
RP11-338N10.2	chr1	7758363	7758932	-1
RP11-338N10.3	chr1	7760764	7761030	-1
VAMP3	chr1	7831329	7841492	1
RP3-467L1.6	chr1	7836443	7836835	1
PER3	chr1	7844380	7905237	1
RP3-467L1.4	chr1	7870302	7887402	-1
UTS2	chr1	7903143	7913572	-1
TNFRSF9	chr1	7979907	8000926	-1
RP5-892F13.2	chr1	8002432	8002786	1
PARK7	chr1	8014351	8045565	1
Y_RNA	chr1	8042941	8043043	-1
ERRFI1	chr1	8064464	8086368	-1
RP11-431K24.1	chr1	8086798	8182762	1
CTA-215D11.4	chr1	8117305	8118523	-1
RP11-431K24.2	chr1	8249884	8252830	1
RNU1-7P	chr1	8266494	8266657	-1
RP11-431K24.3	chr1	8268732	8275270	1
RP11-431K24.4	chr1	8278250	8280589	-1
RN7SL729P	chr1	8335184	8335438	-1
RNU6-991P	chr1	8352217	8352323	-1
SLC45A1	chr1	8377886	8404227	1
RERE	chr1	8412457	8877702	-1
RP5-1115A15.1	chr1	8484705	8494898	1
SNORA77	chr1	8571854	8571978	-1
RP5-1115A15.2	chr1	8572712	8573080	1
RPL7P11	chr1	8810489	8811146	1
RPL7P7	chr1	8846270	8846972	-1
RP4-633I8.3	chr1	8858534	8859565	1
RP4-633I8.4	chr1	8865919	8867110	-1
RP11-185B14.1	chr1	8891066	8891434	1
ENO1	chr1	8921061	8939308	-1
ENO1-IT1	chr1	8935847	8938066	-1
ENO1-AS1	chr1	8938894	8939953	1
RNU6-304P	chr1	8943486	8943592	-1
HMGN2P17	chr1	8953468	8954210	1
RP3-477M7.5	chr1	8967452	8967803	-1
RP3-477M7.6	chr1	8969801	8969963	1
CA6	chr1	9005926	9035151	1
RN7SL451P	chr1	9039637	9039933	-1
SLC2A7	chr1	9063359	9086404	-1
SLC2A5	chr1	9095166	9148537	-1
SCARNA16	chr1	9142755	9142938	1
GPR157	chr1	9160364	9189229	-1
MIR34A	chr1	9211727	9211836	-1
RP3-510D11.1	chr1	9242066	9262678	-1
RP3-510D11.2	chr1	9242263	9252148	1
H6PD	chr1	9294834	9331396	1
Z98044.1	chr1	9338450	9338592	1
SPSB1	chr1	9352939	9429591	1
RNA5SP40	chr1	9497728	9497837	-1
RP13-392I16.1	chr1	9561151	9563530	-1
SLC25A33	chr1	9599541	9645237	1
RP13-15M17.1	chr1	9636485	9637043	1
TMEM201	chr1	9648932	9674935	1
PIK3CD	chr1	9711790	9789172	1
C1orf200	chr1	9712668	9714644	-1
RP11-558F24.2	chr1	9720886	9722684	-1
RP11-558F24.4	chr1	9732484	9747613	-1
CLSTN1	chr1	9789084	9884584	-1
RP11-558F24.6	chr1	9840880	9841298	1
CTNNBIP1	chr1	9908334	9970394	-1
RP11-84A14.5	chr1	9908376	9910212	1
LZIC	chr1	9982173	10003465	-1
RP11-84A14.4	chr1	10002981	10010032	1
NMNAT1	chr1	10003486	10045559	1
RN7SKP269	chr1	10007376	10007694	1
MIR5697	chr1	10027439	10027516	1
RP11-807G9.2	chr1	10043199	10044626	1
RBP7	chr1	10057264	10076078	1
AL590639.1	chr1	10078085	10078592	-1
UBE4B	chr1	10092890	10241297	1
RP11-496H15.2	chr1	10114503	10114839	-1
PGAM1P11	chr1	10118729	10119706	1
RNU6-828P	chr1	10223326	10223432	1
KIF1B	chr1	10270863	10441661	1
MIR1273D	chr1	10287776	10287861	1
RNU6-37P	chr1	10359024	10359130	1
RN7SL731P	chr1	10366523	10366813	1
RN7SL721P	chr1	10450059	10450353	1
PGD	chr1	10458649	10480201	1
RP4-736L20.3	chr1	10489938	10490734	-1
APITD1	chr1	10490159	10512210	1
APITD1-CORT	chr1	10490159	10512210	1
CORT	chr1	10509776	10511959	1
DFFA	chr1	10516579	10532583	-1
RP5-1113E3.3	chr1	10518612	10519395	1
PEX14	chr1	10532345	10690815	1
RN7SL614P	chr1	10676893	10677170	1
CASZ1	chr1	10696661	10856707	-1
RP4-734G22.3	chr1	10699298	10714390	1
HSPE1P24	chr1	10955818	10956055	1
C1orf127	chr1	11006528	11042094	-1
CFL1P6	chr1	11051035	11051854	-1
AL713997.1	chr1	11058233	11058320	-1
TARDBP	chr1	11072414	11085796	1
MASP2	chr1	11086580	11107290	-1
RP4-635E18.8	chr1	11089716	11090585	1
SRM	chr1	11114641	11120081	-1
EXOSC10	chr1	11126675	11159938	-1
RP4-635E18.7	chr1	11128528	11133154	1
RP4-635E18.6	chr1	11159732	11162157	1
MTOR	chr1	11166592	11322564	-1
MTOR-AS1	chr1	11203955	11209594	1
RNU6-537P	chr1	11212407	11212509	1
ANGPTL7	chr1	11249398	11256038	1
RNU6-291P	chr1	11286311	11286417	1
RPL39P6	chr1	11293020	11293169	1
UBIAD1	chr1	11333263	11356106	1
UBE2V2P3	chr1	11338673	11339408	-1
RP11-149P14.1	chr1	11485314	11485878	-1
PTCHD2	chr1	11539223	11597641	1
RP1-69M21.2	chr1	11669588	11673412	1
FBXO2	chr1	11708424	11715842	-1
FBXO44	chr1	11714432	11723384	1
FBXO6	chr1	11724181	11734411	1
MAD2L2	chr1	11734537	11751707	-1
DRAXIN	chr1	11751786	11785914	1
AGTRAP	chr1	11796141	11814859	1
C1orf167	chr1	11821844	11849642	1
RP11-56N19.5	chr1	11837134	11839676	-1
MTHFR	chr1	11845780	11866977	-1
CLCN6	chr1	11866207	11903201	1
NPPA-AS1	chr1	11901074	11908136	1
NPPA	chr1	11905766	11908402	-1
NPPB	chr1	11917521	11918988	-1
RP5-934G17.6	chr1	11937827	11940463	1
RNU5E-1	chr1	11968209	11968328	1
RNU5E-4P	chr1	11969865	11969984	-1
KIAA2013	chr1	11979648	11986485	-1
PLOD1	chr1	11994262	12035595	1
MFN2	chr1	12040238	12073571	1
RP5-1077B9.5	chr1	12077273	12077365	-1
MIIP	chr1	12079523	12092102	1
RN7SL649P	chr1	12096799	12097071	-1
TNFRSF8	chr1	12123434	12204264	1
RNU6-777P	chr1	12137938	12138041	-1
RP11-426M1.2	chr1	12140350	12140604	-1
TNFRSF1B	chr1	12227060	12269285	1
MIR4632	chr1	12251770	12251830	1
RP5-1118D24.2	chr1	12280851	12281166	-1
SNORA70	chr1	12281205	12281328	-1
VPS13D	chr1	12290124	12572099	1
SNORA59A	chr1	12567300	12567451	1
RP5-888M10.2	chr1	12587766	12588462	1
DHRS3	chr1	12627939	12677737	-1
RNU6ATAC18P	chr1	12630000	12630100	-1
RP11-474O21.5	chr1	12678906	12679250	-1
AADACL4	chr1	12704566	12727097	1
RP11-474O21.2	chr1	12752925	12753036	1
AADACL3	chr1	12776118	12788726	1
C1orf158	chr1	12806163	12823847	1
PRAMEF12	chr1	12834984	12838049	1
PRAMEF1	chr1	12851546	12856777	1
RP5-845O24.8	chr1	12882549	12883022	-1
PRAMEF11	chr1	12884468	12891264	-1
RP5-845O24.3	chr1	12897978	12901210	-1
HNRNPCL1	chr1	12907261	12908578	-1
PRAMEF2	chr1	12916941	12921764	1
PRAMEF4	chr1	12939045	12946025	-1
PRAMEF10	chr1	12952727	12958101	-1
PRAMEF7	chr1	12976450	12980569	1
RNU6-1072P	chr1	12982374	12982480	1
RP11-450I1.2	chr1	12985990	12988081	1
PRAMEF6	chr1	12998181	13117751	-1
RP11-450I1.4	chr1	13012966	13015755	-1
PRAMEF22	chr1	13035543	13038381	1
WI2-3308P17.2	chr1	13052394	13052998	-1
PRAMEF23	chr1	13108842	13112679	-1
RP13-221M14.6	chr1	13123246	13126086	-1
PRAMEF25	chr1	13140456	13145000	1
RP13-221M14.2	chr1	13146777	13147256	1
RP13-221M14.3	chr1	13162645	13165443	-1
RP13-221M14.4	chr1	13171871	13173157	-1
HNRNPCP5	chr1	13182960	13184326	-1
WI2-2994D6.1	chr1	13196270	13199067	1
PRAMEF26	chr1	13216356	13219581	-1
PRAMEF3	chr1	13328196	13331692	-1
RP11-248D7.2	chr1	13351482	13354323	1
PRAMEF5	chr1	13359819	13369057	1
RP11-219C24.8	chr1	13379149	13381237	-1
RNU6-771P	chr1	13384735	13384841	-1
PRAMEF8	chr1	13386646	13390765	-1
RP11-219C24.6	chr1	13411551	13414482	1
PRAMEF9	chr1	13421176	13428191	1
RP11-219C24.10	chr1	13429634	13430113	1
PRAMEF13	chr1	13447414	13452656	-1
PRAMEF18	chr1	13474689	13477522	-1
PRAMEF16	chr1	13495254	13498260	1
PRAMEF21	chr1	13516066	13526943	1
XX-FW84067D5.1	chr1	13607431	13611550	-1
XX-FW84067D5.2	chr1	13632348	13635279	1
PRAMEF15	chr1	13641973	13648988	1
PRAMEF14	chr1	13668269	13673511	-1
PRAMEF19	chr1	13694889	13698405	-1
PRAMEF17	chr1	13716092	13719089	1
PRAMEF20	chr1	13736907	13747803	1
LRRC38	chr1	13801445	13840543	-1
RP4-597A16.2	chr1	13839715	13842765	1
RP4-597A16.3	chr1	13881496	13882189	1
PDPN	chr1	13909960	13944452	1
RNA5SP41	chr1	13949679	13949779	-1
AL359771.1	chr1	13950397	13950497	-1
CTA-520D8.2	chr1	13983806	13986405	-1
SCARNA11	chr1	14022565	14022694	-1
PRDM2	chr1	14026693	14151574	1
RNU6-1265P	chr1	14450728	14450830	-1
RP11-344F13.1	chr1	14548386	14549613	-1
RP4-704D23.1	chr1	14675450	14677518	-1
KAZN	chr1	14925200	15444539	1
TBCAP2	chr1	15018625	15019109	-1
TMEM51-AS1	chr1	15442448	15478960	-1
TMEM51	chr1	15479028	15546976	1
C1orf195	chr1	15490840	15497813	-1
RP1-21O18.3	chr1	15518324	15519341	-1
FHAD1	chr1	15573768	15726779	1
RP3-467K16.2	chr1	15653176	15670372	-1
RP3-467K16.7	chr1	15660662	15661960	-1
RP3-467K16.4	chr1	15729475	15735929	-1
EFHD2	chr1	15736391	15756839	1
CTRC	chr1	15764935	15775737	1
CELA2A	chr1	15783223	15798586	1
CELA2B	chr1	15792404	15817895	1
CASP9	chr1	15817327	15853029	-1
DNAJC16	chr1	15853308	15918874	1
SCARNA21	chr1	15868660	15868799	1
RP4-680D5.8	chr1	15892106	15892451	-1
AGMAT	chr1	15898848	15911605	-1
RP4-680D5.2	chr1	15912631	15930121	-1
CHCHD2P6	chr1	15931077	15931538	1
RNU7-179P	chr1	15934573	15934640	-1
RP4-680D5.4	chr1	15941138	15941362	-1
DDI2	chr1	15943995	15995539	1
RSC1A1	chr1	15986364	15988217	1
RP4-680D5.9	chr1	16009368	16009623	-1
PLEKHM2	chr1	16010827	16061264	1
AL121992.1	chr1	16010967	16011053	1
RP11-288I21.1	chr1	16049214	16063391	-1
SLC25A34	chr1	16062900	16067891	1
RP11-169K16.4	chr1	16066546	16076391	-1
TMEM82	chr1	16068917	16074477	1
FBLIM1	chr1	16083102	16113089	1
RP11-169K16.6	chr1	16119291	16119780	1
RP11-169K16.7	chr1	16133679	16134194	-1
RP11-169K16.8	chr1	16154724	16155167	1
RP11-169K16.9	chr1	16160560	16174642	-1
SPEN	chr1	16174359	16266955	1
RP1-134O19.3	chr1	16244193	16244403	-1
ZBTB17	chr1	16268364	16302627	-1
RP11-5P18.1	chr1	16296127	16296689	1
RP11-5P18.3	chr1	16314677	16314936	1
TBC1D3P6	chr1	16316366	16321246	1
C1orf64	chr1	16330731	16335302	1
RP11-5P18.5	chr1	16332655	16333166	-1
HSPB7	chr1	16340523	16346089	-1
CLCNKA	chr1	16345370	16360545	1
RP11-5P18.10	chr1	16361673	16366524	-1
CLCNKB	chr1	16370272	16383803	1
FAM131C	chr1	16384264	16400127	-1
EPHA2	chr1	16450832	16482582	-1
RP11-276H7.2	chr1	16481706	16483824	1
RP11-276H7.3	chr1	16485761	16488378	1
ARHGEF19-AS1	chr1	16524349	16524852	1
ARHGEF19	chr1	16524349	16539104	-1
ANO7P1	chr1	16542404	16554522	-1
C1orf134	chr1	16555368	16556038	-1
RSG1	chr1	16558195	16563657	-1
MT1XP1	chr1	16567708	16567893	-1
FBXO42	chr1	16573334	16678949	-1
SZRD1	chr1	16679070	16724640	1
RP11-430L17.1	chr1	16695645	16696025	-1
SPATA21	chr1	16713612	16763919	-1
NECAP2	chr1	16767167	16786573	1
RP4-798A10.2	chr1	16787443	16794976	1
CROCCP3	chr1	16793931	16825752	-1
RNU1-1	chr1	16840617	16840780	-1
RP4-798A10.7	chr1	16841140	16842249	1
RP4-798A10.4	chr1	16847189	16848291	1
U1	chr1	16860381	16862144	-1
FAM231B	chr1	16865561	16866070	1
RP5-875O13.6	chr1	16875146	16879026	-1
AL355149.1	chr1	16875409	16875482	1
NBPF1	chr1	16888814	16940057	-1
RP5-1182A14.5	chr1	16943886	16944224	1
CROCCP2	chr1	16944751	16971178	-1
MST1P2	chr1	16972069	16976914	1
RNU1-3	chr1	16993280	16993443	-1
FAM231A	chr1	16999498	17000007	1
AL021920.1	chr1	17007750	17007823	1
EIF1AXP1	chr1	17012116	17012550	-1
ESPNP	chr1	17013834	17046652	-1
FAM231C	chr1	17060447	17060956	-1
CROCC	chr1	17066768	17299474	1
RNU1-4	chr1	17067011	17067174	1
CROCCP4	chr1	17076728	17077459	1
MST1L	chr1	17081405	17096732	-1
RP11-108M9.1	chr1	17177752	17179624	-1
RP11-108M9.2	chr1	17181902	17185779	1
MIR3675	chr1	17185444	17185516	-1
RP11-108M9.4	chr1	17215033	17216144	-1
RP11-108M9.5	chr1	17215590	17216097	1
RNU1-2	chr1	17222475	17222638	1
RP11-108M9.6	chr1	17230834	17231271	-1
MFAP2	chr1	17300997	17307330	-1
RP1-37C10.3	chr1	17305421	17331586	1
ATP13A2	chr1	17312453	17338423	-1
SDHB	chr1	17345217	17380665	-1
PADI2	chr1	17393256	17445948	-1
RP11-380J14.1	chr1	17516278	17524112	1
PADI1	chr1	17531621	17572500	1
PADI3	chr1	17575593	17610728	1
MIR3972	chr1	17604384	17604470	1
PADI4	chr1	17634690	17690499	1
AC004824.2	chr1	17655507	17676070	-1
PADI6	chr1	17698691	17728195	1
RP1-20B21.4	chr1	17733256	17733878	1
RCC2	chr1	17733256	17766220	-1
AC004824.1	chr1	17740127	17740190	-1
ARHGEF10L	chr1	17866330	18024369	1
RP11-473A10.2	chr1	18044182	18076473	1
ACTL8	chr1	18081808	18153558	1
RP11-174G17.2	chr1	18392151	18400906	1
IGSF21	chr1	18434240	18704977	1
RP11-174G17	chr1	18493423	18505840	-1
RP11-422P22.1	chr1	18712323	18715008	1
KLHDC7A	chr1	18807424	18812478	1
RP1-8B22.1	chr1	18839612	18839881	1
RP1-8B22.2	chr1	18921908	18922130	1
PAX7	chr1	18957500	19075360	1
TAS1R2	chr1	19166093	19186176	-1
RP13-279N23.2	chr1	19175767	19247615	-1
ALDH4A1	chr1	19197926	19229275	-1
MIR4695	chr1	19209696	19209769	-1
MIR1290	chr1	19223565	19223642	-1
IFFO2	chr1	19230775	19283180	-1
RP5-1126H10.2	chr1	19398604	19402005	-1
UBR4	chr1	19401000	19536770	-1
AL137127.1	chr1	19410046	19410145	-1
RP1-43E13.2	chr1	19536995	19567198	1
EMC1	chr1	19542158	19578046	-1
MRTO4	chr1	19578033	19586622	1
AKR7L	chr1	19592476	19600688	-1
AKR7A3	chr1	19609052	19615744	-1
RP4-657E11.10	chr1	19623574	19624397	1
AKR7A2	chr1	19630459	19638640	-1
RNU6-1099P	chr1	19631570	19631676	-1
PQLC2	chr1	19638820	19655794	1
RN7SL85P	chr1	19646299	19646554	-1
CAPZB	chr1	19665267	19812066	-1
RN7SL277P	chr1	19750878	19751163	1
RNU4-28P	chr1	19837087	19837227	1
RP5-1056L3.1	chr1	19918296	19923326	-1
MINOS1-NBL1	chr1	19923473	19984549	1
MINOS1	chr1	19923477	19956314	1
RPS14P3	chr1	19934608	19935062	1
NBL1	chr1	19967048	19984945	1
HTR6	chr1	19991780	20006055	1
TMCO4	chr1	20008706	20126438	-1
RNF186	chr1	20140523	20141771	-1
RP11-91K11.2	chr1	20140860	20145995	1
OTUD3	chr1	20209006	20239438	1
PLA2G2E	chr1	20246502	20250110	-1
RN7SL304P	chr1	20297462	20297760	1
PLA2G2A	chr1	20301925	20306932	-1
PLA2G5	chr1	20354672	20417683	1
PLA2G2D	chr1	20438432	20446050	-1
PLA2G2F	chr1	20465819	20476879	1
RP3-340N1.2	chr1	20480831	20487061	1
PLA2G2C	chr1	20487746	20503917	-1
UBXN10-AS1	chr1	20510735	20512979	-1
